Student_ID,Study Hours per Week,Attendance Rate,Previous Grades,Sleep Hours per Night,Extra Curricular Activities,Performance Score
96,9.8,79.9,73.8,5.5,No,61.5
97,22.1,82.3,76.2,7.9,Yes,76.4
98,21.8,75.2,45.0,10.0,No,42.1
99,20.0,80.6,88.7,7.0,No,78.0
100,18.4,88.8,80.2,5.9,No,67.5
101,10.1,92.6,90.0,6.7,No,70.2
102,17.1,75.8,31.6,9.1,No,60.3
103,17.6,93.7,100.0,6.0,Yes,73.6
104,14.4,98.6,72.9,5.8,No,73.8
105,18.9,89.1,91.6,6.3,No,76.3
106,22.8,100.0,59.4,5.6,Yes,67.0
107,33.2,77.3,84.2,7.2,No,86.6
108,21.2,72.6,59.2,9.4,No,64.7
109,21.8,67.2,65.6,7.5,No,72.5
110,19.5,100.0,100.0,6.6,No,91.2
111,6.6,91.5,72.1,6.6,Yes,63.0
112,19.8,84.4,78.3,4.7,No,63.4
113,20.4,87.8,88.1,8.3,No,70.9
114,37.2,73.7,82.4,6.9,No,74.5
115,18.7,100.0,77.3,6.7,Yes,97.2
116,22.1,86.3,80.5,10.0,No,80.2
117,19.8,86.1,100.0,7.4,No,74.3
118,11.8,92.3,74.1,5.9,Yes,58.5
119,28.0,89.8,78.0,6.4,Yes,82.6
120,25.3,87.2,90.8,8.7,No,85.4
121,25.5,77.1,91.6,7.2,No,86.0
122,13.6,89.7,92.8,4.8,No,69.3
123,29.8,100.0,84.6,8.4,No,82.0
124,10.2,98.5,57.9,6.0,No,62.3
125,24.1,100.0,99.5,9.8,No,83.7
126,35.3,79.9,57.8,8.6,Yes,55.8
127,13.1,75.1,79.5,6.3,No,66.2
128,16.0,83.7,63.7,8.9,Yes,59.6
129,20.7,85.6,74.0,7.1,No,74.7
130,16.5,95.9,79.9,8.3,Yes,96.5
131,9.1,68.1,79.8,7.7,Yes,70.3
132,20.5,100.0,81.3,5.7,No,73.1
133,12.6,83.4,99.2,6.0,Yes,83.8
134,23.3,80.7,81.8,8.5,No,79.7
135,13.6,74.9,71.3,6.5,Yes,69.7
136,30.8,68.5,89.5,6.4,No,84.1
137,14.5,93.2,92.8,5.6,No,89.1
138,17.7,85.7,56.6,7.6,Yes,58.6
139,25.7,72.1,84.0,10.0,Yes,77.6
140,11.4,72.0,85.5,5.4,No,59.6
141,21.6,81.6,70.5,7.0,No,75.9
142,29.1,100.0,95.6,9.1,No,78.8
143,8.7,82.4,72.7,6.9,No,61.8
144,21.3,70.0,76.9,7.7,No,70.9
145,21.8,82.5,72.4,5.4,Yes,77.3
146,25.5,82.3,75.2,7.6,No,83.0
147,11.3,58.0,58.6,6.7,No,48.0
148,10.8,84.5,53.4,8.5,No,58.2
149,23.7,82.7,98.9,8.8,No,78.1
150,22.1,92.0,62.3,10.0,No,56.3
151,21.8,100.0,60.1,7.9,No,69.3
152,22.4,96.3,42.7,7.5,No,61.9
153,15.2,82.3,65.4,7.3,No,83.4
154,21.6,73.9,55.2,6.5,No,66.6
155,22.1,100.0,99.6,7.5,Yes,79.0
156,15.0,85.6,90.1,6.6,Yes,72.9
157,33.1,85.1,64.7,7.3,No,81.6
158,23.3,84.8,100.0,9.0,No,97.7
159,11.7,87.0,89.7,5.5,Yes,60.8
160,24.6,83.6,70.1,8.7,Yes,60.8
161,13.2,79.3,37.5,9.0,Yes,65.5
162,25.5,79.5,100.0,6.8,Yes,89.6
163,28.1,84.7,54.2,4.0,No,53.3
164,14.3,79.6,50.3,6.1,No,60.7
165,26.7,77.9,90.3,8.9,No,61.3
166,22.9,86.1,100.0,7.0,No,85.2
167,25.8,82.5,95.8,5.5,Yes,84.5
168,33.3,100.0,83.5,6.2,Yes,90.3
169,18.3,58.5,83.9,8.3,No,64.2
170,14.7,95.9,87.8,7.8,No,77.5
171,13.8,97.5,86.4,6.6,No,68.6
172,14.3,64.3,79.2,6.4,Yes,70.4
173,19.5,81.6,76.6,6.4,No,65.6
174,22.4,81.3,74.1,5.6,No,67.6
175,21.9,70.9,63.7,9.4,No,57.4
176,25.8,77.2,70.8,6.5,No,77.3
177,20.1,73.9,49.6,8.8,No,65.7
178,30.2,100.0,73.5,9.3,No,74.5
179,18.1,94.4,60.2,8.5,Yes,68.3
180,39.0,97.7,58.4,6.4,Yes,65.0
181,24.4,92.2,77.7,7.6,Yes,78.0
182,14.0,73.7,95.9,7.0,No,75.7
183,12.5,79.8,88.8,5.6,No,88.3
184,23.4,89.9,51.4,7.5,No,59.4
185,18.4,72.8,60.2,5.2,Yes,71.6
186,25.0,92.1,89.1,8.8,No,88.4
187,23.3,82.6,60.3,6.3,No,69.6
188,19.5,81.3,71.6,7.3,No,83.7
189,14.1,92.1,83.3,7.4,No,77.0
190,9.4,89.4,60.5,6.6,No,63.4
191,16.9,81.4,76.6,7.9,No,71.2
192,26.0,96.6,55.0,6.3,Yes,78.9
193,21.5,74.2,66.0,8.3,No,76.0
194,11.3,91.2,79.8,5.0,Yes,62.3
195,21.2,90.9,51.1,7.2,Yes,57.8
196,22.7,81.9,81.6,9.9,Yes,72.1
197,13.8,88.3,74.7,5.5,No,60.4
198,21.1,72.5,83.3,6.0,No,72.6
199,20.4,94.2,78.4,7.8,No,85.2
200,12.0,83.2,95.5,7.3,Yes,74.8
201,22.5,79.8,76.9,7.5,No,75.0
202,23.9,95.5,68.6,7.7,No,75.4
203,27.6,78.0,76.8,8.0,No,82.6
204,27.4,70.9,83.1,8.7,No,61.0
205,10.4,69.4,75.7,7.6,Yes,62.9
206,13.4,91.1,75.6,6.6,No,71.1
207,23.6,72.2,64.5,8.0,No,77.7
208,23.6,100.0,65.1,9.8,Yes,66.9
209,23.6,64.2,54.0,6.8,No,50.5
210,40.0,100.0,100.0,5.5,No,92.9
211,24.0,87.1,56.3,8.7,No,62.8
212,27.9,84.0,64.6,6.8,Yes,65.6
213,26.7,79.6,64.2,4.0,Yes,59.4
214,24.6,89.0,88.4,8.3,Yes,81.8
215,17.8,84.6,70.6,6.2,No,64.1
216,25.3,96.0,93.7,6.9,No,69.9
217,14.6,86.1,64.9,7.5,Yes,74.3
218,18.3,86.5,79.2,7.3,No,83.4
219,16.6,81.4,62.5,8.1,No,70.0
220,20.6,84.4,100.0,6.3,Yes,75.7
221,36.2,88.1,57.2,7.8,No,71.2
222,6.9,67.9,79.6,6.6,No,63.6
223,24.8,71.5,84.5,8.1,Yes,83.5
224,8.7,92.4,81.2,7.9,Yes,76.1
225,16.7,86.7,72.2,5.6,No,61.8
226,27.6,83.2,73.1,8.6,No,75.2
227,20.4,85.2,75.7,6.2,No,75.3
228,12.5,88.5,72.8,8.2,No,78.0
229,15.0,79.6,89.5,7.6,Yes,82.0
230,24.8,77.2,100.0,9.8,Yes,87.5
231,14.9,87.0,66.6,6.7,No,66.9
232,21.5,75.2,54.5,6.5,Yes,74.8
233,20.3,89.1,73.7,7.0,Yes,77.8
234,15.4,68.0,100.0,6.5,No,70.9
235,35.0,95.3,62.9,8.2,No,84.9
236,24.4,89.7,99.6,4.6,No,84.5
237,5.8,87.6,100.0,5.4,No,67.7
238,21.3,94.8,66.7,5.4,Yes,66.3
239,15.4,100.0,83.5,8.4,No,77.3
240,26.0,95.1,99.4,9.6,Yes,88.7
241,14.5,66.6,69.3,6.8,No,65.8
242,19.2,72.2,71.9,6.7,No,71.3
243,23.5,78.8,66.3,7.1,No,83.1
244,26.1,85.3,59.8,8.7,No,76.5
245,11.6,90.2,65.3,5.6,No,62.8
246,17.7,77.7,56.6,7.4,Yes,71.9
247,16.7,86.9,75.5,8.5,No,63.5
248,15.4,77.4,63.5,7.8,No,67.7
249,32.4,78.9,78.5,7.3,Yes,93.1
250,22.8,70.9,51.7,8.5,No,61.0
251,11.2,75.8,80.0,4.0,No,53.1
252,26.4,71.5,87.5,8.0,Yes,76.6
253,34.9,75.2,45.1,6.0,No,55.4
254,27.2,95.5,80.6,4.3,No,67.0
255,9.4,75.5,93.4,7.8,No,70.2
256,16.6,100.0,56.9,9.1,No,53.9
257,28.9,89.9,100.0,6.8,No,87.7
258,15.0,86.8,81.3,8.4,No,78.4
259,23.1,76.4,64.4,9.4,No,59.8
260,25.4,92.0,74.2,9.0,Yes,87.1
261,13.5,79.2,83.4,9.5,No,71.6
262,19.6,86.2,76.1,8.1,No,80.6
263,5.0,100.0,83.1,7.1,Yes,66.4
264,12.8,84.0,61.2,4.6,No,62.2
265,18.2,96.5,77.5,6.6,No,66.5
266,11.3,78.0,53.8,5.7,Yes,63.0
267,31.4,84.7,73.3,10.0,No,72.9
268,10.0,100.0,61.4,6.7,No,67.2
269,16.9,78.7,64.0,7.2,No,58.0
270,20.9,100.0,93.5,7.8,Yes,78.9
271,30.1,92.1,91.4,7.1,Yes,90.9
272,9.9,79.4,84.1,9.5,No,59.3
273,28.1,91.3,58.6,6.1,No,72.7
274,20.1,94.7,70.3,7.3,Yes,65.1
275,13.1,91.2,93.2,5.9,No,80.5
276,23.2,69.3,77.1,5.0,Yes,61.3
277,21.4,77.7,100.0,6.1,No,84.9
278,15.8,82.5,80.9,6.9,No,76.9
279,20.5,84.3,77.9,6.4,No,68.4
280,17.3,91.2,70.4,6.0,Yes,73.9
281,20.8,86.8,77.0,4.9,No,70.8
282,24.6,71.6,72.7,6.9,Yes,70.7
283,31.1,88.8,85.6,4.7,No,69.2
284,11.3,91.1,89.4,8.1,No,60.5
285,34.9,90.6,63.2,7.1,Yes,78.9
286,6.3,95.8,55.0,4.8,Yes,42.8
287,18.9,93.3,47.5,6.5,No,62.6
288,24.1,89.6,82.6,5.9,No,75.1
289,22.0,84.3,58.4,7.5,No,73.0
290,15.6,68.4,42.7,9.0,Yes,52.2
291,18.5,89.3,80.8,4.2,No,64.5
292,16.5,87.1,100.0,7.2,No,86.7
293,15.9,87.7,74.9,6.8,No,72.9
294,25.9,72.2,87.6,8.0,No,81.9
295,22.5,74.2,76.2,7.3,No,77.4
296,15.1,95.5,73.5,5.9,No,57.8
297,26.3,84.6,88.8,6.5,No,86.5
298,22.2,91.8,70.6,5.8,No,75.4
299,25.7,85.3,79.0,8.6,No,69.8
300,24.4,85.3,79.8,7.0,Yes,77.8
301,14.2,94.4,65.0,9.9,No,61.8
302,16.1,79.8,89.9,6.9,No,74.9
303,25.2,86.0,72.4,5.9,No,75.4
304,24.3,80.4,63.7,4.7,Yes,75.8
305,19.9,80.7,83.0,4.3,Yes,76.7
306,20.8,81.9,61.5,4.6,No,51.9
307,28.9,87.2,75.4,7.4,Yes,84.1
308,15.9,80.2,74.9,7.8,No,79.5
309,23.8,97.6,91.3,4.6,Yes,81.5
310,18.6,76.1,82.1,8.3,Yes,82.3
311,18.5,83.1,74.6,6.3,Yes,85.9
312,27.7,80.6,87.3,7.2,Yes,90.2
313,25.8,99.5,95.9,9.4,No,85.3
314,25.7,87.0,83.4,8.3,Yes,88.3
315,29.1,95.3,75.2,6.6,No,79.2
316,20.1,70.1,55.3,5.7,No,60.2
317,24.8,87.7,59.0,4.0,No,58.5
318,17.8,93.9,70.4,5.9,No,79.9
319,22.3,85.8,65.9,6.7,No,64.8
320,19.1,95.7,72.2,5.5,No,80.2
321,20.7,79.8,75.8,6.8,Yes,77.9
322,24.2,99.1,82.9,7.1,No,71.5
323,14.3,100.0,73.9,6.7,No,73.4
324,34.6,81.4,82.3,6.0,No,64.1
325,13.0,80.5,76.0,7.3,No,73.3
326,11.5,99.5,45.4,7.7,No,64.9
327,28.1,100.0,60.9,5.4,No,65.4
328,25.5,79.8,72.8,9.1,No,73.1
329,24.4,80.8,56.9,6.9,No,81.5
330,24.4,82.2,84.0,7.0,Yes,77.1
331,19.9,71.6,98.0,8.1,No,72.8
332,13.7,75.8,93.3,7.3,Yes,87.5
333,20.5,75.0,71.8,8.4,No,83.7
334,15.3,77.3,97.4,7.4,No,78.6
335,26.8,84.7,77.2,6.1,Yes,84.2
336,19.0,87.3,69.9,7.5,Yes,82.3
337,14.2,100.0,65.8,5.3,Yes,60.1
338,17.8,75.0,70.5,7.2,No,65.3
339,22.9,94.8,69.2,7.0,No,82.7
340,16.1,82.9,77.6,6.7,No,82.7
341,14.2,84.5,77.4,6.8,No,74.1
342,21.7,91.7,75.0,4.2,No,60.6
343,21.7,73.8,81.6,6.2,No,87.4
344,16.5,88.8,92.9,7.1,No,75.2
345,16.7,86.7,89.2,7.2,No,75.1
346,21.6,89.9,52.7,5.5,No,64.6
347,9.9,87.9,36.7,8.9,Yes,62.4
348,10.1,100.0,89.0,5.7,No,77.8
349,15.0,78.6,54.5,8.5,No,63.0
350,18.5,79.7,71.6,7.6,Yes,75.3
351,22.2,78.8,57.4,6.0,No,64.8
352,30.3,79.4,48.0,9.7,Yes,67.1
353,26.0,78.6,83.1,5.2,Yes,58.0
354,18.9,96.9,86.4,8.4,No,76.1
355,19.9,99.2,66.4,8.5,Yes,74.0
356,13.0,79.3,36.1,6.0,No,42.1
357,19.9,76.7,66.8,9.1,No,68.8
358,18.0,89.7,80.9,6.6,Yes,74.4
359,22.3,79.5,52.8,7.4,No,77.7
360,14.2,91.3,77.8,7.4,Yes,84.6
361,23.6,87.0,74.8,6.8,No,72.1
362,30.7,69.8,83.7,8.2,No,77.5
363,19.2,100.0,76.8,8.2,Yes,76.4
364,22.8,100.0,60.4,4.4,Yes,62.0
365,24.8,78.9,92.9,9.0,No,81.8
366,17.2,81.1,72.6,4.5,No,57.4
367,21.6,87.9,74.6,8.5,Yes,67.0
368,20.1,88.3,61.0,8.7,No,71.1
369,20.7,91.6,68.4,5.4,No,72.2
370,14.6,100.0,61.7,6.4,No,59.9
371,20.2,83.2,72.4,5.3,No,74.1
372,23.5,77.0,100.0,6.7,No,79.2
373,30.2,71.2,54.4,6.5,No,68.1
374,26.7,77.7,50.8,8.2,No,71.4
375,35.1,84.7,97.1,9.0,No,85.1
376,14.6,100.0,71.9,9.1,Yes,73.1
377,26.1,79.8,65.0,6.2,No,66.4
378,21.3,87.2,90.6,6.7,No,78.7
379,35.3,84.8,65.9,4.5,No,66.3
380,14.3,96.9,100.0,5.8,No,73.4
381,14.1,100.0,85.2,8.4,No,73.8
382,15.8,79.7,67.7,9.4,No,52.6
383,5.1,80.1,100.0,5.1,No,64.9
384,16.3,95.4,65.9,6.1,No,64.9
385,14.7,91.8,86.1,7.0,Yes,75.0
386,21.1,100.0,79.5,7.4,No,76.7
387,22.4,90.8,94.5,5.8,No,80.1
388,33.1,81.4,98.4,7.6,Yes,92.4
389,26.7,90.9,75.5,6.3,No,82.5
390,16.0,96.1,63.7,7.0,No,63.3
391,13.7,93.2,81.9,7.8,No,65.1
392,23.4,90.1,64.8,7.0,Yes,66.3
393,10.8,95.7,100.0,6.3,Yes,75.8
394,32.8,96.7,77.0,6.8,No,78.0
395,28.3,98.8,69.5,6.9,Yes,72.9
396,16.7,91.5,77.8,6.4,No,63.1
397,8.0,83.3,54.8,6.6,No,53.5
398,29.5,86.5,60.4,9.4,Yes,71.2
399,19.2,97.1,93.0,7.8,No,86.1
400,28.7,76.8,65.1,6.6,No,67.3
401,8.8,88.7,59.3,8.0,No,57.6
402,15.8,81.1,83.0,6.5,No,65.8
403,20.0,85.3,92.8,8.8,No,78.6
404,20.3,97.8,85.8,7.6,No,74.2
405,16.8,86.9,89.9,6.8,No,81.2
406,24.4,85.5,63.6,7.7,No,59.4
407,12.5,71.4,53.7,4.6,No,48.8
408,19.0,92.5,97.5,5.3,No,80.5
409,20.8,91.5,70.2,5.2,No,69.4
410,23.6,100.0,71.2,7.2,No,95.4
411,25.0,81.9,94.9,9.6,Yes,83.8
412,12.1,87.2,83.3,10.0,No,59.5
413,9.3,87.5,81.8,8.0,Yes,70.5
414,28.9,100.0,100.0,7.8,No,77.4
415,22.3,84.0,65.3,4.3,No,62.0
416,14.8,87.8,88.9,6.2,No,68.4
417,30.9,91.1,75.9,5.8,No,82.6
418,20.8,86.9,79.0,6.1,No,69.7
419,28.3,80.5,97.9,6.7,No,84.3
420,20.5,86.9,82.6,6.3,No,70.9
421,34.4,95.7,83.1,4.0,No,86.4
422,32.3,74.7,91.1,8.1,No,80.5
423,18.3,86.3,69.5,5.4,No,78.9
424,26.8,78.0,62.4,7.4,Yes,78.3
425,24.5,97.0,59.3,10.0,No,69.5
426,29.6,69.8,45.5,5.6,No,62.6
427,13.2,79.4,100.0,4.0,No,71.6
428,24.8,88.8,58.5,6.6,Yes,57.4
429,27.4,100.0,71.7,8.7,No,74.6
430,7.7,84.3,70.8,9.9,Yes,66.0
431,11.7,79.4,79.6,5.2,No,63.9
432,5.7,100.0,87.2,7.7,No,62.0
433,18.1,70.5,87.9,6.3,No,73.2
434,25.0,63.0,66.3,6.8,Yes,82.7
435,30.5,89.4,72.5,10.0,No,80.6
436,20.5,80.0,79.2,4.7,No,67.7
437,31.4,74.8,71.3,7.4,No,81.9
438,10.3,92.1,99.1,7.7,No,75.7
439,8.1,87.4,82.4,8.6,Yes,57.4
440,19.6,79.4,86.0,7.1,No,70.3
441,22.7,72.2,84.9,7.5,No,88.4
442,19.8,93.7,92.6,6.4,No,78.3
443,5.5,91.5,77.7,7.4,Yes,66.5
444,19.4,84.0,55.5,6.5,No,61.8
445,10.9,100.0,81.0,7.9,No,85.6
446,24.7,74.3,65.2,6.4,No,80.9
447,22.6,69.7,67.1,7.6,Yes,86.9
448,13.4,78.1,83.8,7.0,No,70.4
449,16.4,84.5,93.6,8.7,Yes,80.5
450,12.6,87.4,75.3,6.9,No,58.3
451,19.6,82.6,79.6,4.3,Yes,78.4
452,26.7,88.5,100.0,8.9,No,77.2
453,13.1,72.5,78.6,5.6,No,66.7
454,23.5,99.4,100.0,6.0,No,77.7
455,16.3,84.2,83.5,6.1,Yes,69.6
456,14.4,96.2,48.6,9.1,No,52.6
457,19.3,88.4,86.3,4.0,No,64.2
458,12.8,89.6,80.7,10.0,No,62.5
459,16.1,90.7,94.3,8.6,No,74.4
460,11.6,89.5,85.1,7.3,Yes,80.5
461,33.8,91.4,72.9,6.9,No,70.7
462,20.2,98.3,56.6,7.4,Yes,71.6
463,15.1,87.0,71.9,7.8,No,78.0
464,21.5,92.1,62.2,8.0,Yes,68.1
465,19.2,84.1,66.3,7.8,No,64.3
466,18.5,99.4,83.8,7.1,No,76.5
467,24.3,78.2,100.0,6.7,No,92.6
468,25.3,100.0,80.9,6.8,No,82.0
469,16.3,84.6,57.1,6.7,No,59.4
470,16.0,70.7,81.7,8.7,No,73.2
471,18.1,86.3,92.9,7.9,Yes,73.3
472,5.0,78.2,65.9,4.0,No,54.6
473,9.4,93.4,73.0,8.0,Yes,71.4
474,29.6,78.5,75.2,7.3,No,74.8
475,31.5,80.5,63.2,7.0,No,66.6
476,18.3,66.1,84.7,6.4,No,65.8
477,24.0,80.5,73.2,8.7,Yes,78.2
478,22.2,60.8,81.3,8.4,No,81.3
479,40.0,69.2,61.7,5.8,No,65.0
480,27.8,92.6,68.4,7.6,No,79.2
481,19.1,92.9,85.8,5.5,No,60.0
482,13.3,89.3,69.4,4.9,No,57.7
483,8.8,75.3,100.0,6.1,Yes,74.0
484,21.4,84.5,69.0,8.3,No,64.7
485,14.7,85.0,78.4,8.4,No,63.9
486,10.0,73.4,89.0,7.8,Yes,68.0
487,15.5,100.0,53.7,8.1,Yes,67.5
488,12.4,93.8,48.6,7.8,Yes,59.7
489,31.8,82.8,52.1,6.0,No,50.7
490,26.2,85.3,93.9,7.6,No,69.8
491,19.9,87.1,66.7,8.2,Yes,67.1
492,30.4,64.6,100.0,8.1,No,87.5
493,20.5,82.5,66.5,8.8,Yes,50.4
494,14.0,78.2,77.8,8.1,No,65.9
495,30.7,75.0,98.1,7.5,Yes,83.8
496,23.8,82.2,100.0,8.6,No,93.7
497,12.7,100.0,100.0,7.0,No,78.2
498,18.7,91.4,93.1,5.7,No,80.1
499,13.9,79.3,90.4,6.8,No,75.2
500,10.3,90.7,83.9,5.9,No,54.1
